Company,Type,Amount,Permission AD Date,Permission BS Date,
Nepal Med Ltd.,Ordinary Share,2.7,28/07/1993,,
NIDC Capital Markets Ltd.,Mutual Fund,100,28/07/1993,,
Nepal Share Markets Co. Ltd.,Ordinary Share,4,21/09/1993,,
Himalayan General Insurance Co. Ltd.,Ordinary Share,12,28/09/1993,,
Harisiddhi Brick & Tiles Factory Ltd.,Ordinary Share,53.2,1993/12/12,,
Nimrod Pharmaceuticals Ltd.,Ordinary Share,18,16/12/1993,,
Nepal Lever Ltd.,Ordinary Share,13.8,30/12/1993,,
Necon Air Ltd.,Ordinary Share,16.5,1994/10/01,,
Necon Air Ltd.,Preference Share,14,1994/10/01,,
United Insurance Co. (Nepal) Ltd.,Ordinary Share,24,30/01/1994,,
Nepal SBI Bank Ltd.,Ordinary Share,36,22/02/1994,,
Peoples Finance Ltd.,Ordinary Share,9.8,1994/08/05,,
Annapurna Finance Ltd.,Ordinary Share,9.8,1994/10/05,,
Nepal Film Development Co. Ltd.,Ordinary Share,21.9,1994/05/06,,
Agro Nepal Ltd.,Ordinary Share,9,1994/12/06,,
Birat Shoe Ltd.,Ordinary Share,5,21/06/1994,,
Birat Shoe Ltd.,Preference Share,2.5,21/06/1994,,
Premier Insurance Co. Ltd.,Ordinary Share,12,18/08/1994,,
Ace Laboratries (Nepal) Ltd.,Ordinary Share,12.26,1994/04/09,,
Nepal Bangaladesh Bank Ltd.,Ordinary Share,36,29/09/1994,,
Everest Insurance Co. Ltd.,Ordinary Share,12,1994/03/10,,
Himgiri Textile Industries Ltd.,Ordinary Share,19.2,1994/08/11,,
Balaju Textile Industries Ltd.,Ordinary Share,7.5,24/11/1994,,
Kathmandu Finance Co. Ltd.,Ordinary Share,8,29/01/1995,,
Leatherage Bansbari Tannery & Shoe Factory Ltd.,Ordinary Share,15,14/03/1995,,
Citizen Investment Trust,Ordinary Share,16,1995/10/04,,
Everest Bank Ltd.,Ordinary Share,36,26/04/1995,,
Kosh Byabasthapan Co. Ltd.,Ordinary Share,30.25,14/06/1995,,
Citizen Investment Trust,Unit Scheme,50,29/06/1995,,
Nepal Abbas Bikash Bitta Co. Ltd.,Ordinary Share,20,1995/01/08,,
Narayani Finance Co. Ltd.,Ordinary Share,4,1995/11/09,,
Nepal Finance & Saving Co. Ltd.,Rights Share,2,22/10/1995,,
Shree Brikuti Pulp & Paper Nepal Ltd.,Ordinary Share,105,1995/05/12,,
Yeti Finance Co. Ltd.,Ordinary Share,8,1996/05/02,,
Color Scan Nepal Ltd.,Ordinary Share,14.34,25/03/1996,,
HISEF Finance Ltd.,Ordinary Share,24,25/03/1996,,
Universal Finance and Capital Markets Ltd.,Ordinary Share,15,1996/04/04,,
Fleur Himalayan Co. Ltd.,Ordinary Share,12.28,1996/07/04,,
Ace Finance Co. Ltd.,Ordinary Share,12,14/04/1996,,
Samjhana Finance Ltd.,Ordinary Share,10.12,1996/06/06,,
Seti Cigarette Factory Ltd.,Rights Share,67,1996/02/07,,
Nepal Housing & Merchant Finance Ltd.,Ordinary Share,12,26/07/1996,,
Bank of Kathmandu Ltd.,Ordinary Share,45,1996/03/10,,
Himalyan General Insurance Co. Ltd.,Rights Share,30,1997/03/04,,
Bottlers Nepal Ltd.,Rights Share,225.2,1997/03/04,,
Nepal Share Markets Co. Ltd.,Rights Share,20,13/05/1997,,
General Finance Co. Ltd.,Ordinary Share,8,17/08/1997,,
Nepal Bitumin & Barrel Udyog Ltd.,Ordinary Share,7.4,17/08/1997,,
Shreeram Sugar Mills Ltd.,Ordinary Share,46.5,23/10/1997,,
Shreeram Sugar Mills Ltd.,Debenture,93,23/10/1997,,
Neco Insurance Ltd.,Ordinary Share,20,26/10/1997,,
Nepal United Co. Ltd.,Rights Share,3.01,16/11/1997,,
Nepal Bank Ltd.,Rights Share,241.95,27/11/1997,,
Mahalaxmi Finance Co. Ltd.,Ordinary Share,10,15/12/1997,,
Paschimanchal Finance Co. Ltd.,Ordinary Share,8,1998/05/01,,
Annapurna Finance Co. Ltd.,Rights Share,5,25/01/1998,,
Lalitpur Finance Co. Ltd.,Ordinary Share,9.5,1998/02/04,,
Goodwill Finance & Investment Co. (Nepal) Ltd.,Ordinary Share,10,27/05/1998,,
Alliance Insurance Co. Ltd.,Ordinary Share,20,1998/12/08,,
Taragaon Regency Hotels Ltd.,Ordinary Share,120,16/12/1998,,
Taragaon Regency Hotels Ltd.,Preference Share,80,16/12/1998,,
Pokhara Finance Co. Ltd.,Ordinary Share,8,22/03/1999,,
Nepal Share Markets Co. Ltd.,Rights Share,30,25/05/1999,,
Universal Finance & Capital Market Ltd.,Ordinary Share,3.26,13/09/1999,,
Nepal Industrial & Commercial Bank Ltd.,Ordinary Share,175,15/11/1999,,
Nepal Merchant Banking & Finance Ltd.,Ordinary Share (not issued),50,30/12/1999,,
Necon Air Ltd.,Rights Share,89.6,21/01/2000,,
Lumbini Finance & Leasing Co. Ltd.,Ordinary Share,24,2000/01/02,,
Paschimanchal Finance Co. Ltd.,Rights Share,20,14/02/2000,,
Ace Finance Co. Ltd.,Rights Share,15,29/03/2000,,
Sagarmatha Insurance Co. Ltd.,Ordinary Share,10.2,14/06/2000,,
Oriental Hotels Ltd.,Ordinary Share,150,27/06/2000,,
Siddartha Finance Ltd.,Ordinary Share,8,2000/07/11,,
Nepal Merchant Banking & Finance Ltd.,Ordinary Share,50,30/11/2000,,
Alpic Everest Finance Ltd.,Ordinary Share,5,2000/12/12,,
Nepal Bangladesh Finance & Leasing Co. Ltd.,Ordinary Share,7.5,19/01/2001,,
Narayani Finance Ltd.,Rights Share,12.58,2001/12/03,,
Nepal Bank of Ceylon Ltd.,Ordinary Share (not issued),150,13/04/2001,,
Everest Bank Ltd.,Rights Share,119.21,30/05/2001,,
Nepal Development Bank Ltd.,Ordinary Share,48,18/06/2001,,
Bank of Kathmandu Ltd.,Rights Share,234,13/07/2001,,
Himalayan Distillery Ltd.,Ordinary Share,173.46,2001/10/08,,
Nepal Housing & Merchant Finance Ltd.,Rights Share,15,20/11/2001,,
Union Finance Co. Ltd.,Ordinary Share,24,20/12/2001,,
Development Credit Bank Ltd.,Ordinary Share,48,2002/02/01,,
Ace Finance Ltd.,Rights Share,45,2002/02/01,,
Nepal SBI Bank Ltd.,Rights Share,287.87,15/01/2002,,
NIDC Capital Markets Ltd.,Rights Share,40,18/03/2002,,
Nepal Bank Of Ceylon Ltd.,Ordinary Share (Not issued),150,25/03/2002,,
United Finance Ltd.,Ordinary Share,24,2002/08/05,,
Himalayan Bank Ltd.,Debenture,360,2002/04/06,,
Nepal Life Insurance Co. Ltd.,Ordinary Share,50,2002/07/06,,
Nirdhan Utthan Bank Ltd.,Ordinary Share,3.3,14/06/2002,,
Everest Bank Ltd.,Pref. Share,140,18/06/2002,,
International Leasing & Finance Co. Ltd.,Ordinary Share,30,26/06/2002,,
Gorkha Finance Ltd.,Ordinary Share,10,2002/05/07,,
Shree Investment & Finance Co. Ltd.,Ordinary Share,16,16/07/2002,,
Life Insurance Corporation (Nepal) Ltd.,Ordinary Share,50,22/07/2002,,
Nepal Srilanka Merchant Bank Ltd.,Ordinary Share,40,23/07/2002,,
NIDC Capital Markets Ltd.,Mutual Fund,100,2002/09/08,,
Nepal Investment Bank Ltd.,Rights Share,57.24,19/08/2002,,
Janaki Finance Co. Ltd.,Ordinary Share,8,28/08/2002,,
Central Finance Co. Ltd.,Ordinary Share,8,17/09/2002,,
Navadurga Finance Co. Ltd.,Ordinary Share,8,2002/04/12,,
Premier Finance Co. Ltd.,Ordinary Share,8,24/12/2002,,
Machhauchhre Bank Ltd.,Ordinary Share,165,31/12/2002,,
Nepal Share Markets & Finance Ltd.,Rights Share,60,2003/06/01,,
Mahalaxmi Finance Ltd.,Rights Share,25,2003/12/02,,
NB Insurance Co. Ltd.,Ordinary Share,20,2003/02/04,,
Peoples Finance Ltd.,Rights Share,20,2003/05/05,,
Butwal Finance Ltd.,Ordinary Share,20,22/05/2003,,
Om Finance Ltd.,Ordinary Share,8,18/06/2003,,
Laxmi Bank Ltd.,Ordinary Share,192.5,30/06/2003,,
Standard Finance Ltd.,Ordinary Share,24,2003/01/07,,
Alpic Everest Finance Ltd.,Rights Share,20,21/08/2003,,
Nepal Investment Bank Ltd.,Debenture,300,14/10/2003,,
Cosmic Merchant Banking & Finance Ltd.,Ordinary Share,24,21/10/2003,,
Kumari Bank Ltd.,Ordinary Share,150,2003/12/11,,
Siddhartha Finance Ltd.,Rights Share,20,14/11/2003,,
Fewa Finance Co. Ltd.,Ordinary Share,8,2004/06/02,,
Nepal Credit & Commerce Bank Ltd.,Ordinary Share,210,13/02/2004,,
Prudential Insurance Co. Ltd.,Ordinary Share,20,22/04/2004,,
NB Finance & Leasing Co. Ltd.,Rights Share,30,2004/10/05,,
Pashchimanchal Development Bank Ltd.,Ordinary Share,6,24/05/2004,,
Chhimake Development Bank Ltd.,Ordinary Share,3,24/05/2004,,
Lumbini Bank Ltd.,Ordinary Share,150,2004/02/06,,
Kist Merchant Banking & Finance Ltd.,Ordinary Share,20,2004/08/06,,
NB Bank Ltd.,Rights Share,359.92,17/06/2004,,
World Merchant Banking & Finance Ltd.,Ordinary Share,24,2004/08/07,,
National Hydro Power Co. Ltd.,Ordinary Share,140,2004/07/15,,
Annapurna Finance Company Ltd.,Rights Share,20,2004/07/10,,
Birgunj Finance Ltd.,Ordinary Share,24,2004/05/11,,
Diprosc Bikash Bank Ltd.,Ordinary Share,3.48,2005/12/01,,
Nirdhan Udthan Bank Ltd.,Rights Share,15,28/03/2005,,
Everest Bank Ltd.,Debenture,300,30/03/2005,,
Nepal SBI Bank Ltd.,Rights Shares,215.93,2005/06/04,,
Everest Finance Ltd.,Ordinary Share,8,2005/02/05,,
Nepal Investment Bank Ltd.,Rights Shares,295.29,2005/02/05,,
Capital Merchant Banking & Finance,Ordinary Share,28,24/05/2005,,
National Finance Ltd. (Bittiya Samsthan),Rights Shares,43.2,2005/02/06,,
Development Credit Bank Ltd.,Rights Shares,80,14/07/2005,,
Chilime Hydropower Limited,Ordinary Share,237.41,14/07/2005,,
Siddhartha Bank Limited,Ordinary Share,150,03/08/2005 (2062/4/19),,
Srijana Finance Limited (Bittiya Sansthan),Ordinary Share,4,03/08/2005 (2062/4/19),,
Prudential Financial Institute Limited,Ordinary Share,24.5,17/08/2005 (2062/5/1),,
Bank of Kathmandu Limited,Debenture,200,07/09/2005 (2062/5/22),,
Merchant Finance Company Limited,Ordinary Share,12,20/09/2005 (2062/6/4),,
Kumari Bank Ltd.,Rights Share,125,23/11/2005 (2062/8/6),,
Nepal Development Bank,Rights Share,160,26/12/2005 (2062/9/11),,
Fewa Finance Company Ltd.,Rights Share,30,26/12/2005 (2062/9/11),,
Om Finance Ltd.,Rights Share,30,26/12/2005 (2062/9/11),,
Gandaki Financial Institution Limited,Ordinary Share,15,28/12/2005 (2062/9/13),,
Goodwill Finance Co. Ltd.,Rights Share,25,03/01/2006 (2062/9/19),,
Business Financial Institution Limited,Ordinary Share,12,05/01/2006 (2062/9/21),,
Royal Merchant Banking & Finance Ltd.,Ordinary Share,17.5,25/01/2006 (2062/10/12),,
Bajuratna Finance & Saving Co. Ltd.,Ordinary Share,10.5,31/01/2006 (2062/10/18),,
Central Finance Ltd. (Bittiya Sansthan),Rights Share,12,02/02/2006 (2062/10/20),,
Taragaon Regency Hotels Ltd.,Rights Share,446.45,07/02/2006 (2062/10/25),,
Janaki Finance Co. Ltd. (Bittiya Sansthan),Rights Share,10,21/02/2006 (2062/11/9),,
Guheshwori Merchant & Banking Ltd.,Ordinary Share,20,21/03/2006 (2062/12/8),,
Siddhartha Bikash Bank Ltd. (B. S.),Ordinary Share,20,27/03/2006 (2062/12/14),,
Shikhar Insurance Co. Ltd.,Ordinary Share,25,19/04/2006 (2063/1/6),,
IME Financial Institution Limited.,Ordinary Share,17.5,26/04/2006 (2063/1/13),,
Machhapuchchre Bank Ltd.,Rights Share,165,01/05/2006 (2063/1/18),,
Bhrikuti Bikash Bank Ltd. (B.S.),Ordinary Share,6.42,02/05/2006 (2063/1/19),,
Nepal Share Markets & Finance Ltd. (B.S.),Rights Share,40,10/05/2006 (2063/1/27),,
Kist Merchant Banking & Finance (B.S.),Rights Share,50,11/05/2006 (2063/1/28),,
Patan Finance Limited (B.S.),Ordinary Share,20,29/05/2006 (2063/2/15),,
Nepal Investment Bank Ltd.,Debenture,250,30/05/2006 (2063/2/16),,
Nepal Industrial and Commercial Bank Ltd.,Debenture,200,31/05/2006 (2063/2/17),,
Nepal SBI Bank Ltd.,Debenture,200,25/06/2006 (2063/3/11),,
Narayani Audhogik Bikash Bank Ltd. (B.S),Ordinary Share,6,29/06/2006 (2063/3/15),,
Pokhara Finance Ltd. (B.S.),Rights Share,20,29/06/2006 (2063/3/15),,
Sanima Bikash Bittiya Sanstha Ltd.,Ordinary Share,96,04/07/2006 (2063/3/20),,
Paschimanchal Bikash Bank Ltd (BS),Rights Share,28,09/07/2006 (2063/3/25),,
Lumbini Bank Limited,Rights Share,100,13/07/2006 (2063/3/29),,
Bageshwori Bikash Bank Ltd.(B.S),Ordinary Share,9,18/07/2006 (2063/4/2),,
Peoples Finance Ltd. (B.S.),Rights Share,40,03/08/2006 (2063/4/18),,
Chhimek Bikash Bank Ltd. (B.S.),Rights Share,20,01/09/2006 (2063/5/16),,
Sahayogi Bikash Bank Ltd. (B.S.),Ordinary Share,6,03/09/2006 (2063/5/18),,
Alpic Everest Finance Ltd. (B.S.),Rights Share,20,07/09/2006 (2063/5/22),,
Nepal Development Bank Ltd. (B.S.),Rights Share,160,30/10/2006 (2063/7/13),,
Navadurga Finance Co. Ltd. (B.S.),Rights Share,11,12/12/2006 (2063/8/26),,
Gorkha Development Bank Ltd.,Ordinary Share,96,31/12/2006 (2063/9/16),,
Ace Finance Co. Ltd. (B.S.),Rights Share,194,12/01/2007 (2063/9/28),,
Annapurna Finance Co. Ltd. (B.S.),Rights Share,80,15/01/2007 (2063/10/1),,
Swabalamban Bikash Bank Ltd. (B.S.),Ordinary Share,6,26/01/2007 (2063/10/14),,
Himchuli Bikash Bank Ltd.,Ordinary Share,12,04/02/2007 (2063/10/21),,
Imperial Financial Institution Ltd.,Ordinary Share,19.5,06/02/2007 (2063/10/23),,
Annapurna Bikash Bank Ltd. (B.S.),Ordinary Share,29.4,21/02/2007 (2063/11/9),,
Yeti Finance Ltd. (B.S.),Rights Share,6.25,05/03/2007 (2063/11/21),,
ICFC Bittiya Sanstha Ltd.,Ordinary Share,24.354,08/03/2007 (2063/11/24),,
Civil Merchant Bittiya Sanstha Ltd.,Ordinary Share,20,15/03/2007 (2063/12/1),,
Capital Merchant Banking & Finance Ltd.,Rights Share,84,28/03/2007 (2063/12/14),,
Laxmi Bank Limited,Rights Share,122,04/04/2007 (2063/12/21),,
Business Development Bank Ltd.,Rights Share,30,18/04/2007 (2064/1/5),,
Nepal Express Finance Limited,Ordinary Share,15,23/04/2007 (2064/1/10),,
Kist Merchant Banking & Finance Ltd.,Rights Share,100,04/05/2007 (2064/1/21),,
Siddhartha Bank Ltd.,Rights Share,100,16/05/2007 (2064/2/2),,
Excel Development Bank Ltd.,Ordinary Share,6,17/05/2007 (2064/2/3),,
Biratlaxmi Development Bank Ltd.,Ordinary Share,20,18/05/2007 (2064/2/4),,
Malika Development Bank Ltd.,Ordinary Share,15,27/05/2007 (2064/2/13),,
Lumbini Bank Ltd.,Rights Share,150,29/05/2007 (2064/2/15),,
Nepal Investment Bank Ltd.,Debenture,250,30/05/2007 (2064/2/16),,
Nepal Credit & Commerce Bank Ltd.,Rights Share,700,06/06/2007,,
Everest Bank Ltd.,Preference Share,400,26/06/2007,,
Merchant Finance Co. Ltd.,Ordinary Share,12,15/07/2007,,
Lumbini General Insurance,Ordinary,25,2007/07/29,,
Central Finance Limited,Rights,24,2007/08/03,,
Siddhartha Insurance Limited,Ordinary,25,2007/08/12,,
Seti Bittiya Sansthan Limited,Ordinary,4.9,2007/09/23,,
Nirdhan Uttan Bank Ltd.,Rights,39.5198,2007/09/27,,
Nepal Share Markets Ltd,Rights,240,2007/09/28,,
Infrastructure Development Bank,Ordinary,24,2007/10/03,,
Agricultural Development Bank,Ordinary,125,2007/10/05,,
Kuber Merchant Banking & Finance,Ordinary,22.5,2007/10/09,,
Prabhu Finance Company Ltd.,Ordinary,48,2007/10/14,,
IME Financial Institution,Rights,50,2007/10/31,,
Paschimanchal Development Bank,Rights,47.5,2007/11/04,,
Brikuti Bikash Bank Ltd.,Rights,30.032,2007/11/12,,
Capital Merchant Banking & Finance,Rights,161,2007/11/12,,
Premier Finance Co. Ltd.,Rights,14.4,2007/11/28,,
Development Credit Bank Ltd.,Rights,806.4,2007/12/13,,
Nepal Merchant Banking & Finance,Rights,800,2007/12/13,,
Nepal Investment Bank,Rights,201.2814,2007/01/09,,
Sagarmatha Insurance Co,Rights,23.562,2008/01/14,,
Siddhartha Development Bank,Rights,50,2008/01/16,,
Prudential Bittiya Sanstha Ltd.,Rights,50,2008/01/16,,
Nepal Electricity Bond,Debenture,1500,2008/01/25,,
Nepal Development & Employment,Ordinary,128,2008/02/06,,
Siddhartha Bank Ltd.,Rights,138,2008/02/06,,
NIC Bank Ltd.,Rights,158.4,2008/02/17,,
Lumbini Bank Ltd.,Rights,250,2008/03/10,,
Kumari Bank Ltd.,Rights,180,2008/03/24,,
Laxmi Bank Ltd.,Rights,183,2008/04/03,,
Sanima Bikash Bank,Rights,64,2008/04/03,,
Paschimanchal Finance,Rights,27.83,2008/04/04,,
Kumari Bank Ltd.,Debenture,40,2008/04/24,,
Kist Merchant Banking & Finance,Rights,600,2008/04/24,,
Ace Development Bank,Rights,96,2008/05/04,,
Goodwill Finance Co. Ltd.,Rights,50,2008/05/04,,
Gorkha Development Bank,Rights,160,2008/05/06,,
Business Development,Rights,150,2008/05/08,,
Himchuli Bikash Bank Ltd.,Rights,60,2008/05/08,,
United Finance Ltd.,Rights,75,2008/05/08,,
Nepal Express Finance Ltd.,Rights,30,2008/05/12,,
Royal Merchant Banking & Finance,Rights,60.6084,2008/05/12,,
ICFC Bittiya Sanstha,Rights,224.8062,2008/05/13,,
Kaski Finance Ltd.,Ordinary,20,2008/05/18,,
Shikhar Bittiya Sanstha Ltd.,Ordinary,20,2008/05/18,,
ILFC Ltd.,Rights,504,2008/05/18,,
Annapurna Bikash Bank,Rights,150,2008/05/18,,
Clean Energy Development Bank,Ordinary,96,2008/05/23,,
Reliable Investment Bittiya Sanstha,Ordinary,24.75,2008/05/26,,
Lord Buddha Financial Institution,Ordinary,22.5,2008/05/26,,
Nepal Housing & Merchant Finance,Rights,80.4402,2008/05/26,,
Sahayoki Bikash Bank,Rights,10,2008/05/26,,
Subechchha Bikash Bank,Ordinary,12,2008/05/27,,
Sagarmatha Merchant Finance,Ordinary,20,2008/05/27,,
Triveni Bikash Bank,Ordinary,15,2008/06/01,,
Himalayan Bank Ltd.,Debenture,50,2008/06/01,,
Shree Investment Finance Co,Rights,16.8,2008/06/01,,
Premier Insurance,Rights,39,2008/06/01,,
Standard Finance Limited,Rights,72.6,2008/06/03,,
Guheswori Merchant Banking &,Rights,37.0088,2008/06/05,,
Narayani Finance Ltd.,Rights,150.0728,2008/06/05,,
Himalayan General Insurance,Rights,37.8,2008/06/06,,
Nepal Investment Bank,Debenture,250,2008/06/16,,
Gorkha Finance Ltd.,Rights,30,2008/06/22,,
Nepal Awas Bikash Bitta Company,Rights,70.4885,2008/06/24,,
Kathmandu Finance Ltd.,Rights,37.95,2008/06/25,,
Nabil Bank Ltd.,Debenture,30,2008/06/29,,
Neco Insurance,Rights,55,2008/06/30,,
Global Bank Ltd.,Ordinary,300,2008/07/01,,
National Hydro Power Company,Rights,694.941,2008/07/01,,
Machchhapurchhre Bank Ltd.,Rights,492.9907,2008/07/02,,
Yeti Finance Ltd.,Rights,31.25,2008/07/02,,
Gandaki Bikash Bank,Rights,50,2008/07/07,,
Pashupati Development Bank Ltd.,Ordinary,80,2008/07/13,,
Om Finance Limited,Rights,0.14,2008/07/17,,
Union Finance Limited,Rights,0.725153,2008/09/23,,
Kist Merchant & Finance Ltd.,Rights,12,2008/09/24,,
Siddhartha Bank Ltd.,Debenture,0.4,2008/09/25,,
Laxmi Bank Ltd.,Debenture,0.35,2008/09/29,,
Peoples Finance Ltd.,Rights,1.68,2008/10/03,,
Srijana Finance,Rights,0.14,2008/10/03,,
Swabalamban bank,Rights,0.35,2008/10/03,,
Nepal Srilanka Merchant Bank,Rights,2,2008/10/21,,
National Finance Ltd.,Rights,0.628042,2008/10/22,,
Samjhana Finance Ltd.,Rights,0.278351,2008/10/26,,
Nepal Bangladesh Bank Ltd.,Rights,11.16889,2008/10/28,,
Bageswori Bikash Bank,Rights,0.15,2008/11/11,,
Pokhara Finance Ltd.,Rights,1.8,2008/11/11,,
IME Financial Institution Ltd.,Rights,1.25,2008/11/25,,
Bank of Asia Nepal Ltd,Ordinary,3,2009/01/05,,
Nepal Bikash Bank,Rights,3.2,2009/01/11,,
Infrastructure Development Bank,Rights,2.4,2009/01/21,,
Nepal Investment Bank,Rights,8.030326,2009/01/23,,
Citizens Bank International Ltd.,Ordinary,3,2009/01/26,,
