Company,Type,Amount,Permission AD Date,Permission BS Date,
Mirmire Microfinance Development Bank Ltd.,Rights,45,,2075/02/01,
National Life Insurance Company Ltd.,Rights,993.65,,2075/02/04,
Nagbeli Laghubitta Bittiya Sanstha Ltd.,Rights,76.65,,2075/02/09,
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Rights,122.5,,2075/02/18,
Samata Microfinance Bittiya Sanstha Ltd.,Rights,18.96,,2075/02/18,
IME General Insurance Ltd.,Rights,432,,2075/03/05,
Progressive Finance Ltd.,Rights,590.1,,2075/03/06,
Nepal Credit and Commerce Bank Ltd.,Rights,"2,339.53",,2075/03/22,
Naya Nepal Laghubitta Bittiya Sanstha Ltd.,Rights,60,,2075/03/27,
City Express Finance Company Ltd.,Rights,250,,2075/03/27,
Shangrila Development Bank Ltd.,Bonus,172.52,,2074/04/01,
Bhargav Bikash Bank Ltd.,Bonus,24,,2074/04/02,
Seti Finance Ltd.,Bonus,5.71,,2074/04/09,
Janautthan Samudayik Laghubitta Bikash Bank Ltd.,Bonus,4,,2074/04/09,
Kalika Micro Credit Development Bank Ltd.,Bonus,32.5,,2074/04/23,
Life Insurance Corporation (Nepal) Ltd.,Bonus,265.22,,2074/05/16,
Gurans Life Insurance Co. Ltd.,Bonus,44,,2074/05/25,
Salt Trading Corporation Ltd.,Bonus,16.41,,2074/06/10,
National Life Insurance Co. Ltd.,Bonus,331.22,,2074/06/29,
Mission Development Bank Ltd.,Bonus,42.88,,2074/07/14,
Nepal Insurance Company Ltd.,Bonus,14.38,,2074/07/23,
Prime Life Insurance Company Ltd.,Bonus,122.04,,2074/07/23,
Western Development Bank Ltd.,Bonus,31.39,,2074/08/03,
Arun Valley Hydropower Ltd.,Bonus,84.82,,2074/08/03,
First Microfinance Ltd.,Bonus,59.51,,2074/08/05,
Laxmi Bank Ltd.,Bonus,"1,156.37",,2074/08/05,
Rastriya Beema Sansthan Company Ltd.,Bonus,142.2,,2074/08/10,
Neco Insurance Ltd.,Bonus,71.29,,2074/08/18,
Prabhu Insurance Ltd.,Bonus,110.88,,2074/08/24,
Citizen Investment Trust,Bonus,132.76,,2074/08/26,
NIC Asia Bank Ltd.,Bonus,"1,338.52",,2074/08/26,
Multipurpose Finance Company Ltd.,Bonus,3.45,,2074/09/06,
Multipurpose Finance Company Ltd.,Bonus,4.83,,2074/09/06,
Kabeli Bikas Bank Ltd.,Bonus,14.04,,2074/09/06,
Ngadi Group Power Ltd.,Bonus,48.69,,2074/09/06,
Mero Microfinance Bittiya Sanstha Ltd.,Bonus,66,,2074/09/09,
Surya Life Insurance Co. Ltd.,Bonus,65.63,,2074/09/19,
Tourism Development Bank Ltd.,Bonus,171.08,,2074/09/19,
Sanima Bank Ltd.,Bonus,"1,103.62",,2074/09/21,
Nabil Bank Ltd.,Bonus,"1,857.71",,2074/09/23,
Soaltee Hotel Ltd.*,Bonus,86.88,,2074/10/05,
Laxmi Bank Ltd.,Bonus,747.24,,2074/10/08,
Global IME Bank Ltd.,Bonus,808.03,,2074/10/08,
Barun Hydropower Ltd.,Bonus,12.15,,2074/10/08,
Siddhartha Insurance Ltd.,Bonus,106.9,,2074/10/08,
ICFC Finance Ltd.,Bonus,80.39,,2074/10/14,
Chhimek Laghubitta Bittiya Sanstha Ltd.,Bonus,165.93,,2074/10/14,
Oriental Hotels Ltd.,Bonus,142.51,,2074/10/19,
Swadeshi Laghubitta Bittiya Sanstha Ltd.,Bonus,15,,2074/10/19,
Global IME Laghubitta Bittiya Sanstha Ltd.,Bonus,11.3,,2074/10/28,
Kailash Bikas Bank Ltd.,Bonus,229.15,,2074/11/03,
Laxmi Laghubitta Bittiya Sanstha Ltd.,Bonus,22,,2074/11/13,
Prudential Insurance Co. Ltd.,Bonus,85.54,,2074/11/16,
Swarojgar Laghubitta Bikas Bank Ltd.,Bonus,17.5,,2074/11/16,
Chilime Hydropower Co. Ltd.,Bonus,517.19,,2074/11/16,
Excel Development Bank Ltd.,Bonus,115.83,,2074/11/16,
Guheshwori Merchant Banking & Finance Ltd.,Bonus,109.12,,2074/11/16,
Everest Insurance company Ltd.,Bonus,20.25,,2074/11/28,
Nepal Finance Company Ltd.,Bonus,24.42,,2074/11/29,
RSDC Laghubitta Bittiya Sanstha Ltd.,Bonus,14.95,,2074/11/29,
Womi Microfinance Bittiya Sanstha Ltd.,Bonus,12.96,,2074/12/01,
Ridi Hydropower Development Company Ltd.,Bonus,28.46,,2074/12/01,
Prime Commercial Bank Ltd.,Bonus,"1,707.87",,2074/12/01,
NMB Microfinance Bittiya Sanstha Ltd.,Bonus,28.18,,2074/12/05,
Garima Bikas Bank Ltd.,Bonus,330.64,,2074/12/05,
Muktinath Bikas Bank Ltd.,Bonus,431.96,,2074/12/05,
Janata Bank Nepal Ltd.,Bonus,"1,007.09",,2074/12/05,
Machhapuchhre Bank Ltd.,Bonus,665.15,,2074/12/07,
Standard Chartered Bank Nepal Ltd.,Bonus,"4,005.72",,2074/12/07,
Nagbeli Lagubitta Bikas Bank Ltd.,Bonus,24,,2074/12/08,
Swabalamban Laghubitta Bikas Bank Ltd.,Bonus,84.15,,2074/12/14,
Janaki Finance Ltd. (Bittiya Sanstha),Bonus,61.53,,2074/12/14,
Citizen Bank International Ltd.,Bonus,"1,111.55",,2074/12/14,
Sahayogi Vikas Bank Ltd.,Bonus,84.94,,2074/12/14,
Jyoti Bikash Bank Ltd.,Bonus,230.29,,2074/12/14,
Nepal Bangladesh Bank Ltd.,Bonus,869.08,,2074/12/15,
Api Power Company Ltd.,Bonus,84,,2074/12/15,
Sunrise Bank Ltd.,Bonus,"1,063.38",,2074/12/20,
Kisan Microfinance Bittiya Sanstha Ltd.,Bonus,8.05,,2074/12/20,
Tinau Development Bank Ltd.,Bonus,46.08,,2074/12/20,
Lumbini General Insurance Co. Ltd.,Bonus,100,,2074/12/21,
Vijaya Laghubitta Bittiya Sanstha Ltd.,Bonus,16.1,,2074/12/21,
Civil Laghubitta Bittiya Sanstha Ltd.,Bonus,4.73,,2074/12/21,
Naya Nepal Laghubitta Bittiya Sanstha Ltd.,Bonus,4,,2074/12/27,
Mission Development Bank Ltd.,Bonus,86.55,,2074/12/27,
Agriculture Development Bank Ltd.,Bonus,"1,417.54",,2074/12/27,
Nepal SBI Bank Ltd.,Bonus,"1,075.11",,2074/12/30,
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Bonus,20,,2074/12/30,
Goodwill Finance Ltd.,Bonus,74,,2075/01/03,
Srijana Finance Ltd.,Bonus,98.28,,2075/01/04,
Everest Bank Ltd.,Bonus,"1,991.63",,2075/01/04,
Shikhar Insurance Company Ltd.,Bonus,239.64,,2075/01/04,
Salt Trading Corporation Ltd.,Bonus,24.6,,2075/01/04,
Nepal Investment Bank Ltd.,Bonus,"1,405.22",,2075/01/05,
Kanchan Development Bank Ltd.,Bonus,55.55,,2075/01/06,
Saptakoshi Development Bank Ltd.,Bonus,23.21,,2075/01/11,
Kankai Bikas Bank Ltd.,Bonus,29,,2075/01/11,
Shine Resunga Development Bank Ltd.,Bonus,275.72,,2075/01/20,
Deprosc Laghubitta Bittiya Sanstha Ltd.,Bonus,96.98,,2075/01/20,
Samata Microfinance Bittiya Sanstha Ltd.,Bonus,6.32,,2075/01/20,
National Microfinance Bittiya Sanstha Ltd.,Bonus,20.36,,2075/01/21,
Premier Insurance Co. (Nepal) Ltd.,Bonus,69.54,,2075/01/26,
Miteri Development Bank Ltd.,Bonus,119.71,,2075/01/26,
Multipurpose Finance Company Ltd.,Bonus,4.44,,2075/01/27,
Purnima Bikas Bank Ltd.,Bonus,84.55,,2075/02/04,
Citizen Investment Trust,Bonus,162.86,,2075/02/06,
Sana Kisan bikas Laghubitta Bittiya Sanstha Ltd.,Bonus,125.77,,2075/02/10,
Prime Life Insurance Company Ltd.,Bonus,198.32,,2075/02/10,
Nepal Life Insurance company Ltd.,Bonus,"1,300.50",,2075/02/10,
Everest Insurance Company Ltd.,Bonus,12.15,,2075/02/13,
NLG Insurance Company Ltd.,Bonus,128.08,,2075/02/13,
Karnali Development Bank Ltd.,Bonus,12.08,,2075/02/18,
"Nepal Lube Oil Limited
 (Includes shares listed before Securities Act, 2063)",Bonus,26.94,,2075/02/18,
Nerude Laghubitta Bittiya Sanstha Ltd.,Bonus,39.78,,2075/02/28,
Nirdhan Utthan Laghubitta Bittiya Sanstha Ltd.,Bonus,400.17,,2075/03/06,
Om Development Bank Ltd.,Bonus,378.11,,2075/03/08,
Mithila Laghubitta Bittiya Sanstha Ltd.,Bonus,8.61,,2075/03/12,
RMDC Laghubitta Bittiya Sanstha Ltd.,Bonus,34.61,,2075/03/12,
Forward Community Microfinance Bittiya Sanstha Ltd.,Bonus,100.17,,2075/03/20,
Mirmire Laghubitta Bittiya Sanstha Ltd.,Bonus,13.86,,2075/03/31,
Hamro Bikash Bank Ltd.,Bonus,33.49,,2075/03/31,
Nepal Insurance Company Ltd.,Bonus,13.66,,2075/03/31,
Siddhartha Equity Fund,Unit,1500,,2074/05/14,
Sanima Equity Fund,Unit,1300,,2074/07/27,
NIC Asia Growth Fund,Unit,1000,,2074/09/11,
Citizen Mutual Fund-1,Unit,1000,,2074/09/17,
"Kalika Power Company Ltd. 
 (For General Public)",Ordinary,120,,2075/05/03,
Chautari Laghubitta Bittiya Sanstha Ltd.,Ordinary,60,,2075/05/21,
"Additional 60,000 kitta shares registered after amendment in capital structure.",Ordinary,-,,2075/07/30,
"Himalaya Urja Bikas Company Ltd.
 (For Local People)",Ordinary,99,,2075/06/02,
"Madhya Bhotekoshi Jalavidyut Co. Ltd.
 For 1) Employees having membership of Employee Provident Fund 
 2) Employees of Promoter Shareholding Companies
 3) Employees of Lending Institutions",Ordinary,"1,440",,2075/06/29,
"Joshi Hydropower Development Company Ltd. 
 (For General Public)
 (Including Unsubscribed 242,010 Share issued to Local People)",Ordinary,169,,2075/07/18,
"Ghalemdi Hydro Ltd.
 (For General Public)
 (Including Unsubscribed 455,770 Share issued for Local People)",Ordinary,156,,2075/08/16,
"Universal Power Company Ltd.
 For Local People 21,00,350 kitta 
 For General Public 75,61,260 kitta",Ordinary,966,,2075/08/27,
"Shiva Shree Hydropower Ltd.
 (For Local People)",Ordinary,148,,2075/09/10,
"Panchthar Power Company Ltd.
 (For Local People : 9,62,500 kitta
 For General Public : 9,62,500 kitta )",Ordinary,193,,2075/09/13,
"Greenlife Hydropower Ltd.
 (For Local People)",Ordinary,180,,2075/09/17,
Asha Laghubitta Bittiya Sanstha Ltd.,Ordinary,67,,2075/09/29,
"Himalaya Urja Bikas Co. Ltd.
 (For General Public)",Ordinary,149,,2075/10/21,
"Union Hydropower Ltd.
 (For General Public)
 (Including Unsubscribed 6,21,790 Share issued to Local People)",Ordinary,353,,2075/10/28,
"Mountain Hydro Nepal Ltd.
 (For General Public)
 (Including Unsubscribed 5,66,110 Share issued to Local People)",Ordinary,182,,2075/11/01,
Sparsha Laghubitta Bittiya Sanstha Ltd.,Ordinary,27,,2075/11/03,
"Trishuli Jal Vidhyut Company Ltd.
 Under Government of Nepal's ""hgtfsf] hnljB't sfo{qmd""
 (For General Public)
 (Call amount 10% of face value)",Ordinary,371,,2075/11/30,
Ganapati Microfinance Bittiya Sansatha Ltd.,Ordinary,34,,2075/12/07,
"Sanjen Jalavidhyut Company Ltd.
 (For General Public)",Ordinary,548,,2075/12/10,
"Rasuwagadhi Hydropower Co.Ltd.
 (For General Public)",Ordinary,"1,026",,2075/12/10,
Nepal Agro Laghubitta Bittiya Sanstha Ltd.,Ordinary,16,,2075/12/18,
Gurans Laghubitta Bittiya Sanstha Limited,Ordinary,25,,2075/12/26,
Janasewi Laghubitta Bittiya Sanstha Ltd.,Ordinary,46,,2076/01/02,
Swabhimaan Microfinance Bittiya Sanstha Ltd.,Ordinary,20,,2076/01/11,
Infinity Laghubitta Bittiya Sanstha Ltd.,Ordinary,67,,2076/01/23,
"Himal Dolakha Hydropower Co. Ltd.
 (For Local People : 16,00,000 kitta
 For General Public : 62,00,000 kitta )",Ordinary,780,,2076/01/25,
Adhikhola Laghubitta Bittiya Sanstha Limited,Ordinary,40,,2076/03/05,
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Ordinary,13,,2076/03/06,
Sabaiko Laghubitta Bittiya Sanstha Ltd.,Ordinary,53,,2076/03/13,
Swadeshi Laghubitta Bittiya Sanstha Ltd.,Rights,115,,2075/04/24,
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Rights,30,,2075/06/14,
Kisan Microfinance Bittiya Sanstha Ltd.,Rights,24,,2075/06/25,
"Everest Insurance Co. Ltd.
 (Promoter Issue)",Rights,140,,2075/07/04,
NADEP Laghubitta Bittiya Sanstha Ltd.,Rights,160,,2075/07/15,
Surya Life Insurance Cmpany Ltd.,Rights,792,,2075/08/12,
Mithila LaghuBittya Bittya Sanstha Ltd.,Rights,33,,2075/09/13,
Unnati Microfinance Bittya Sansatha Ltd.,Rights,11,,2075/09/20,
Mero MicroFinance Bittiya Sanstha Ltd.,Rights,329,,2075/10/13,
Nepal Insurance Co.Ltd.,Rights,401,,2075/10/13,
Asian Life Insurance Co.Ltd.,Rights,754,,2075/10/27,
Gramin Bikash LaghuBitta Bittya Sanstha Ltd.,Rights,328,,2075/11/29,
Everest Insurance Company Ltd.,Rights,822,,2075/12/27,
JanaUtthan Samudayic Laghubitta Bittya Sanstha ltd.,Rights,29,,2076/02/05,
MultiPurpose Finance Co.Ltd. (Bittiya Sanstha),Rights,359,,2076/02/05,
United Insurance Co.(Nepal) Ltd.,Rights,726,,2076/03/08,
Womi Laghubitta Bittya Sanstha Ltd.,Rights,101,,2076/03/12,
Global IME Laghubitta Bittiya Sanstha Ltd.,Rights,110,,2076/03/24,
Muktinath Bikas Bank Ltd.,Rights,613,,2076/03/30,
Siddhartha Bank Ltd.,Bonus,955.66,,2075/04/01,
Suryodaya Laghubitta Bittiya Sanstha Ltd.,Bonus,7.6,,2075/04/09,
Himalayan Bank Ltd.,Bonus,"1,622.91",,2075/04/10,
Nepal Community Development Bank Ltd.,Bonus,41.75,,2075/04/16,
United Finance Ltd.,Bonus,127.81,,2075/04/24,
Mega Bank Nepal Ltd.,Bonus,998.7,,2075/05/05,
Manjushree Finance Ltd.,Bonus,43.46,,2075/05/05,
Kalika Laghubitta Bittiya Sanstha Ltd.,Bonus,17.5,,2075/05/05,
Asian Life Insurance Company Ltd.,Bonus,48.34,,2075/05/08,
Radhi Bidyut Company Ltd.,Bonus,41,,2075/05/14,
Kamana Sewa Bikas Bank Ltd.,Bonus,130.47,,2075/05/19,
Deva Bikas Bank Ltd.,Bonus,247.09,,2075/05/25,
Summit Laghubitta Bittiya Sanatha Ltd.,Bonus,25,,2075/06/10,
Bank Of Kathmandu Ltd.,Bonus,827.51,,2075/06/10,
Surya Life Insurance Company Ltd.,Bonus,121.28,,2075/06/23,
Pokhara Finance Ltd.,Bonus,62.29,,2075/06/23,
Gandaki Bikas Bank Ltd.,Bonus,445.09,,2075/06/25,
Century Commercial Bank Ltd.,Bonus,383.97,,2075/07/05,
Shree Investment and Finance Company Ltd.,Bonus,167.98,,2075/07/12,
Shangri-la Development Bank Ltd.,Bonus,61.13,,2075/07/18,
NMB Bank Ltd.,Bonus,"1,140.49",,2075/07/18,
Oriental Hotels Ltd.,Bonus,140.14,,2075/08/09,
Garima Bikas Bank Ltd.,Bonus,253.49,,2075/08/18,
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Bonus,24.5,,2075/08/18,
Janautthan Samudayic Laghubitta Bittiya Sanstha Ltd.,Bonus,4.8,,2075/08/28,
Mero Microfinance Bittiya Sanstha Ltd.,Bonus,42.9,,2075/08/28,
Sanima Mai Hydropower Ltd.,Bonus,211,,2075/09/09,
Janaki Finance Company Bittiya Sanstha Ltd.Finance,Bonus,88.75,,2075/09/22,
Ridi Hydropower Development Co.Ltd.,Bonus,30.06,,2075/09/26,
Citizen Investment Trust.,Bonus,199.23,,2075/09/29,
Pokhara Finance Ltd.,Bonus,40.82,,2075/09/29,
Mahalaxmi Bikas Bank Ltd.,Bonus,210.7,,2075/10/01,
Hamro Bikas Bank Ltd.,Bonus,11.81,,2075/10/09,
Nirdhan Utthan Laghubitta Bittiya Sanstha Ltd.,Bonus,200,,2075/10/13,
Central Finance Ltd.,Bonus,66.38,,2075/10/22,
Shine Resunga Development Bank Ltd.,Bonus,244.05,,2075/10/16,
Muktinath Bikas Bank Ltd.,Bonus,473,,2075/10/18,
Western Development Bank Ltd.,Bonus,74.76,,2075/10/18,
Soaltee Hotel Ltd.*,Bonus,66.61,,2075/10/22,
Saptakoshi Development Bank Ltd,Bonus,15.26,,2075/10/23,
Nic Asia Bank Ltd.,Bonus,803.11,,2075/10/24,
Chilime Jalabidhyut Company Ltd.,Bonus,793.02,,2075/10/29,
Mega Bank Nepal Ltd.,Bonus,103.09,,2075/11/07,
Sana Kishan Bikas Laghubitta Bittiya Sanstha Ltd.,Bonus,157.21,,2075/11/07,
National Microfinance Bittiya Sanstha Ltd.,Bonus,30.53,,2075/11/15,
Butwal Power Company Ltd,Bonus,221.88,,2075/11/15,
Sindhu Bikas Bank Ltd.,Bonus,28.08,,2075/11/22,
Deprox Laghubitta Bittiya Sanstha Ltd.,Bonus,70.31,,2075/11/22,
Kabeli Bikas Bank Ltd.,Bonus,73.71,,2075/11/29,
Citizens Bank International Ltd.,Bonus,291.45,,2075/11/29,
NMB Bank Ltd.,Bonus,874.38,,2075/11/29,
Sangrila Development Bank Ltd.,Bonus,100.26,,2075/11/29,
Bank Of Kathmandu Ltd.,Bonus,990.21,,2075/12/05,
Siddhartha Bank Ltd.,Bonus,423.22,,2075/12/05,
RSDC Laghubitta Bittiya Sanstha Ltd.,Bonus,57.59,,2075/12/12,
Hydroelectricity Investment and Development Company Ltd.,Bonus,"1,000.00",,2075/12/12,
Global IME Bank Ltd.,Bonus,"1,422.14",,2075/12/12,
Samata Laghubitta Bittiya Sanstha Ltd.,Bonus,3.79,,2075/12/13,
Kankai Bikas Bank Ltd.,Bonus,15,,2075/12/15,
RMDC Laghubitta Bittiya Sanstha Ltd.,Bonus,72.67,,2075/12/15,
Shree Investment and Finance Company Ltd.,Bonus,9.85,,2075/12/15,
Laxmi Bank Ltd.,Bonus,698.84,,2075/12/21,
Nepal Investment Bank Ltd.,Bonus,"1,944.31",,2075/12/21,
Bhargav Bikas Bank Ltd.,Bonus,26.4,,2075/12/24,
Himalayan Bank Ltd.,Bonus,405.73,,2075/12/24,
Swabalamban Laghubitta Bittiya Sanstha Ltd.,Bonus,125.78,,2075/12/27,
Summit Laghubitta Bittiya Sanatha Ltd.,Bonus,40,,2075/12/27,
Nepal SBI Bank Ltd.,Bonus,402.35,,2076/01/02,
Tinau Bikas Bank Ltd,Bonus,60.83,,2076/01/02,
Mission Development Bank Ltd.,Bonus,57.12,,2076/01/08,
Civil Laghubitta Bittiya Sanstha Ltd,Bonus,4.39,,2076/01/08,
Kanchan Development Bank Ltd.,Bonus,25.3,,2076/01/12,
Forward Community Microfinance Bittiya Sanstha Ltd.,Bonus,77.51,,2075/01/12,
Salt Trading Corporation Ltd.,Bonus,30.74,,2076/01/12,
Mirmire Laghubitta Bittiya Sanstha Ltd.,Bonus,24.93,,2076/01/19,
Agricultural Development Bank Ltd.,Bonus,510.31,,2076/01/19,
Prabhu Bank Ltd.,Bonus,658.72,,2076/01/25,
Global IME Laghubitta Bittiya Sanstha Ltd.,Bonus,14.41,,2076/01/25,
Vijaya Laghubitta Bittiya Sanstha Ltd.,Bonus,17.71,,2076/01/30,
Nepal Community Development Bank Ltd.,Bonus,5.26,,2076/02/08,
Srijana Finance Ltd.,Bonus,60.1,,2076/02/14,
Life Insurance Corporation (Nepal) Ltd.,Bonus,160.16,,2076/02/21,
Nabil Bank Ltd.,Bonus,968.62,,2076/02/21,
Jebils Finance Ltd.,Bonus,38.93,,2076/02/23,
NMB Laghubitta Bitiya Sanstha Ltd.,Bonus,21.13,,2076/02/31,
Nerude Laghubitta Bittiya Sanstha Ltd,Bonus,51.87,,2076/03/02,
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Bonus,12,,2076/03/02,
National Life Insurance Company Ltd.,Bonus,357.71,,2076/03/06,
Suryodaya Laghubitta Bittiya Sanstha Ltd.,Bonus,32.32,,2076/03/06,
Gurans Life Insurance Company Ltd.,Bonus,47.52,,2076/03/12,
Kishan Microfinance Bittiya Sanstha Ltd.,Bonus,13.93,,2076/03/24,
Kumari Bank Ltd.,Bonus,"1,522.18",,2076/03/25,
Miteri Development Bank Ltd.,Bonus,85,,2076/03/27,
Civil Bank Ltd,Bonus,744.08,,2076/03/29,
NIC Asia Bank Ltd.,Debentures,366,,2075/05/05,
"Sanima Bank Ltd.
 (10% Sanima Debenture 2085)",Debentures,400,,2075/07/07,
"Siddhartha Bank Ltd.
 (10.5% SBL Debenture 2082)",Debentures,450,,2075/08/06,
Global IME Bank Ltd. (10%Global IME Bank Debenture 2080/81,Debentures,600,,2075/09/30,
NIC Asia Bank Ltd. (10% NIC ASIA Bank Debenture 2085/86),Debentures,"1,600",,2075/09/30,
NMB Bank Ltd. (10% NMB Bank Debenture 2085),Debentures,"1,200",,2075/11/14,
Sunrise Bank Ltd.(10% Sunrise Bank Debenture 2080),Debentures,400,,2075/12/01,
Nepal Bangladesh Bank Ltd.(10.25% NBBL Debenture 2085),Debentures,800,,2076/01/23,
Nepal Investment Bank Ltd. (10.5% Nepal Investment Bank Debenture 2082),Debentures,800,,2076/02/07,
Machhapuchchhre Bank Ltd. (10.25% Machhapuchchhre Bank Debenture 2083),Debentures,"1,200",,2076/03/04,
Himalayan Bank Ltd. (10% Himalayan Bank Debenture 2083),Debentures,"1,200",,2076/03/09,
Nic Asia Bank Ltd. (10.25% NIC ASIA Bank Debenture 2083/84),Debentures,"1,760",,2076/03/26,
Nabil Balance Fund-2,Unit,"1,200.00",,2075/12/10,
Citizens Mutual Funds-2,Unit,"1,000.00",,2076/01/06,
NIBL Sahabhagita Fund (Open Ended),Unit,500,,2076/01/09,
NMB 50,Unit,"1,200.00",,2076/02/29,
NIC ASIA Balance Fund,Unit,"1,250.00",,2076/03/25,
Siddhartha Investment Growth Scheme 2,Unit,"1,400.00",,2076/03/26,